season,round,constructorId,position,points,wins,points_after_race,wins_after_race,position_after_race
2006,1,renault,1,10.0,1,,,
2006,1,mclaren,2,10.0,0,,,
2006,1,ferrari,3,8.0,0,,,
2006,1,honda,4,5.0,0,,,
2006,1,williams,5,5.0,0,,,
2006,1,red_bull,6,1.0,0,,,
2006,1,toro_rosso,7,0.0,0,,,
2006,1,bmw_sauber,8,0.0,0,,,
2006,1,toyota,9,0.0,0,,,
2006,1,mf1,10,0.0,0,,,
2006,1,super_aguri,11,0.0,0,,,
2006,2,renault,1,28.0,2,10.0,1.0,1.0
2006,2,ferrari,2,15.0,0,8.0,0.0,3.0
2006,2,mclaren,3,15.0,0,10.0,0.0,2.0
2006,2,honda,4,11.0,0,5.0,0.0,4.0
2006,2,williams,5,5.0,0,5.0,0.0,5.0
2006,2,bmw_sauber,6,2.0,0,0.0,0.0,8.0
2006,2,toyota,7,1.0,0,0.0,0.0,9.0
2006,2,red_bull,8,1.0,0,1.0,0.0,6.0
2006,2,toro_rosso,9,0.0,0,0.0,0.0,7.0
2006,2,mf1,10,0.0,0,0.0,0.0,10.0
2006,2,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,3,renault,1,42.0,3,28.0,2.0,1.0
2006,3,mclaren,2,23.0,0,15.0,0.0,3.0
2006,3,ferrari,3,15.0,0,15.0,0.0,2.0
2006,3,honda,4,13.0,0,11.0,0.0,4.0
2006,3,bmw_sauber,5,10.0,0,2.0,0.0,6.0
2006,3,toyota,6,7.0,0,1.0,0.0,7.0
2006,3,williams,7,5.0,0,5.0,0.0,5.0
2006,3,red_bull,8,2.0,0,1.0,0.0,8.0
2006,3,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,3,mf1,10,0.0,0,0.0,0.0,10.0
2006,3,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,4,renault,1,51.0,3,42.0,3.0,1.0
2006,4,mclaren,2,33.0,0,23.0,0.0,2.0
2006,4,ferrari,3,30.0,1,15.0,0.0,3.0
2006,4,honda,4,15.0,0,13.0,0.0,4.0
2006,4,bmw_sauber,5,10.0,0,10.0,0.0,5.0
2006,4,williams,6,8.0,0,5.0,0.0,7.0
2006,4,toyota,7,7.0,0,7.0,0.0,6.0
2006,4,red_bull,8,2.0,0,2.0,0.0,8.0
2006,4,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,4,mf1,10,0.0,0,0.0,0.0,10.0
2006,4,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,5,renault,1,62.0,3,51.0,3.0,1.0
2006,5,ferrari,2,46.0,2,30.0,1.0,3.0
2006,5,mclaren,3,38.0,0,33.0,0.0,2.0
2006,5,honda,4,19.0,0,15.0,0.0,4.0
2006,5,bmw_sauber,5,11.0,0,10.0,0.0,5.0
2006,5,williams,6,10.0,0,8.0,0.0,6.0
2006,5,toyota,7,7.0,0,7.0,0.0,7.0
2006,5,red_bull,8,2.0,0,2.0,0.0,8.0
2006,5,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,5,mf1,10,0.0,0,0.0,0.0,10.0
2006,5,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,6,renault,1,78.0,4,62.0,3.0,1.0
2006,6,ferrari,2,59.0,2,46.0,2.0,2.0
2006,6,mclaren,3,42.0,0,38.0,0.0,3.0
2006,6,honda,4,24.0,0,19.0,0.0,4.0
2006,6,bmw_sauber,5,12.0,0,11.0,0.0,5.0
2006,6,williams,6,10.0,0,10.0,0.0,6.0
2006,6,toyota,7,7.0,0,7.0,0.0,7.0
2006,6,red_bull,8,2.0,0,2.0,0.0,8.0
2006,6,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,6,mf1,10,0.0,0,0.0,0.0,10.0
2006,6,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,7,renault,1,91.0,5,78.0,4.0,1.0
2006,7,ferrari,2,63.0,2,59.0,2.0,2.0
2006,7,mclaren,3,50.0,0,42.0,0.0,3.0
2006,7,honda,4,29.0,0,24.0,0.0,4.0
2006,7,bmw_sauber,5,14.0,0,12.0,0.0,5.0
2006,7,williams,6,10.0,0,10.0,0.0,6.0
2006,7,toyota,7,8.0,0,7.0,0.0,7.0
2006,7,red_bull,8,8.0,0,2.0,0.0,8.0
2006,7,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,7,mf1,10,0.0,0,0.0,0.0,10.0
2006,7,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,8,renault,1,106.0,6,91.0,5.0,1.0
2006,8,ferrari,2,75.0,2,63.0,2.0,2.0
2006,8,mclaren,3,59.0,0,50.0,0.0,3.0
2006,8,honda,4,29.0,0,29.0,0.0,4.0
2006,8,bmw_sauber,5,17.0,0,14.0,0.0,5.0
2006,8,williams,6,10.0,0,10.0,0.0,6.0
2006,8,toyota,7,8.0,0,8.0,0.0,7.0
2006,8,red_bull,8,8.0,0,8.0,0.0,8.0
2006,8,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,8,mf1,10,0.0,0,0.0,0.0,10.0
2006,8,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,9,renault,1,121.0,7,106.0,6.0,1.0
2006,9,ferrari,2,87.0,2,75.0,2.0,2.0
2006,9,mclaren,3,65.0,0,59.0,0.0,3.0
2006,9,honda,4,29.0,0,29.0,0.0,4.0
2006,9,bmw_sauber,5,19.0,0,17.0,0.0,5.0
2006,9,toyota,6,11.0,0,8.0,0.0,7.0
2006,9,williams,7,10.0,0,10.0,0.0,6.0
2006,9,red_bull,8,9.0,0,8.0,0.0,8.0
2006,9,toro_rosso,9,0.0,0,0.0,0.0,9.0
2006,9,mf1,10,0.0,0,0.0,0.0,10.0
2006,9,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,10,renault,1,131.0,7,121.0,7.0,1.0
2006,10,ferrari,2,105.0,3,87.0,2.0,2.0
2006,10,mclaren,3,65.0,0,65.0,0.0,3.0
2006,10,honda,4,32.0,0,29.0,0.0,4.0
2006,10,bmw_sauber,5,19.0,0,19.0,0.0,5.0
2006,10,toyota,6,16.0,0,11.0,0.0,6.0
2006,10,red_bull,7,11.0,0,9.0,0.0,8.0
2006,10,williams,8,10.0,0,10.0,0.0,7.0
2006,10,toro_rosso,9,1.0,0,0.0,0.0,9.0
2006,10,mf1,10,0.0,0,0.0,0.0,10.0
2006,10,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,11,renault,1,142.0,7,131.0,7.0,1.0
2006,11,ferrari,2,121.0,4,105.0,3.0,2.0
2006,11,mclaren,3,71.0,0,65.0,0.0,3.0
2006,11,honda,4,32.0,0,32.0,0.0,4.0
2006,11,toyota,5,21.0,0,16.0,0.0,6.0
2006,11,bmw_sauber,6,20.0,0,19.0,0.0,5.0
2006,11,red_bull,7,11.0,0,11.0,0.0,7.0
2006,11,williams,8,10.0,0,10.0,0.0,8.0
2006,11,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,11,mf1,10,0.0,0,0.0,0.0,10.0
2006,11,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,12,renault,1,149.0,7,142.0,7.0,1.0
2006,12,ferrari,2,139.0,5,121.0,4.0,2.0
2006,12,mclaren,3,77.0,0,71.0,0.0,3.0
2006,12,honda,4,37.0,0,32.0,0.0,4.0
2006,12,toyota,5,23.0,0,21.0,0.0,5.0
2006,12,bmw_sauber,6,20.0,0,20.0,0.0,6.0
2006,12,red_bull,7,12.0,0,11.0,0.0,7.0
2006,12,williams,8,10.0,0,10.0,0.0,8.0
2006,12,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,12,mf1,10,0.0,0,0.0,0.0,10.0
2006,12,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,13,renault,1,149.0,7,149.0,7.0,1.0
2006,13,ferrari,2,142.0,5,139.0,5.0,2.0
2006,13,mclaren,3,85.0,0,77.0,0.0,3.0
2006,13,honda,4,52.0,1,37.0,0.0,4.0
2006,13,toyota,5,26.0,0,23.0,0.0,5.0
2006,13,bmw_sauber,6,26.0,0,20.0,0.0,6.0
2006,13,red_bull,7,16.0,0,12.0,0.0,7.0
2006,13,williams,8,10.0,0,10.0,0.0,8.0
2006,13,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,13,mf1,10,0.0,0,0.0,0.0,10.0
2006,13,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,14,renault,1,160.0,7,149.0,7.0,1.0
2006,14,ferrari,2,158.0,6,142.0,5.0,2.0
2006,14,mclaren,3,89.0,0,85.0,0.0,3.0
2006,14,honda,4,58.0,1,52.0,1.0,4.0
2006,14,toyota,5,28.0,0,26.0,0.0,5.0
2006,14,bmw_sauber,6,26.0,0,26.0,0.0,6.0
2006,14,red_bull,7,16.0,0,16.0,0.0,7.0
2006,14,williams,8,10.0,0,10.0,0.0,8.0
2006,14,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,14,mf1,10,0.0,0,0.0,0.0,10.0
2006,14,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,15,ferrari,1,168.0,7,158.0,6.0,2.0
2006,15,renault,2,165.0,7,160.0,7.0,1.0
2006,15,mclaren,3,97.0,0,89.0,0.0,3.0
2006,15,honda,4,65.0,1,58.0,1.0,4.0
2006,15,bmw_sauber,5,33.0,0,26.0,0.0,6.0
2006,15,toyota,6,30.0,0,28.0,0.0,5.0
2006,15,red_bull,7,16.0,0,16.0,0.0,7.0
2006,15,williams,8,10.0,0,10.0,0.0,8.0
2006,15,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,15,mf1,10,0.0,0,0.0,0.0,10.0
2006,15,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,15,spyker_mf1,12,0.0,0,,,
2006,16,renault,1,179.0,7,165.0,7.0,2.0
2006,16,ferrari,2,178.0,8,168.0,7.0,1.0
2006,16,mclaren,3,101.0,0,97.0,0.0,3.0
2006,16,honda,4,73.0,1,65.0,1.0,4.0
2006,16,bmw_sauber,5,35.0,0,33.0,0.0,5.0
2006,16,toyota,6,30.0,0,30.0,0.0,6.0
2006,16,red_bull,7,16.0,0,16.0,0.0,7.0
2006,16,williams,8,11.0,0,10.0,0.0,8.0
2006,16,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,16,mf1,10,0.0,0,0.0,0.0,10.0
2006,16,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,16,spyker_mf1,12,0.0,0,0.0,0.0,12.0
2006,17,renault,1,195.0,8,179.0,7.0,1.0
2006,17,ferrari,2,186.0,8,178.0,8.0,2.0
2006,17,mclaren,3,105.0,0,101.0,0.0,3.0
2006,17,honda,4,78.0,1,73.0,1.0,4.0
2006,17,bmw_sauber,5,36.0,0,35.0,0.0,5.0
2006,17,toyota,6,35.0,0,30.0,0.0,6.0
2006,17,red_bull,7,16.0,0,16.0,0.0,7.0
2006,17,williams,8,11.0,0,11.0,0.0,8.0
2006,17,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,17,mf1,10,0.0,0,0.0,0.0,10.0
2006,17,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,17,spyker_mf1,12,0.0,0,0.0,0.0,12.0
2006,18,renault,1,206.0,8,195.0,8.0,1.0
2006,18,ferrari,2,201.0,9,186.0,8.0,2.0
2006,18,mclaren,3,110.0,0,105.0,0.0,3.0
2006,18,honda,4,86.0,1,78.0,1.0,4.0
2006,18,bmw_sauber,5,36.0,0,36.0,0.0,5.0
2006,18,toyota,6,35.0,0,35.0,0.0,6.0
2006,18,red_bull,7,16.0,0,16.0,0.0,7.0
2006,18,williams,8,11.0,0,11.0,0.0,8.0
2006,18,toro_rosso,9,1.0,0,1.0,0.0,9.0
2006,18,mf1,10,0.0,0,0.0,0.0,10.0
2006,18,super_aguri,11,0.0,0,0.0,0.0,11.0
2006,18,spyker_mf1,12,0.0,0,0.0,0.0,12.0
2007,1,ferrari,1,13.0,1,,,
2007,1,bmw_sauber,2,5.0,0,,,
2007,1,renault,3,4.0,0,,,
2007,1,williams,4,2.0,0,,,
2007,1,toyota,5,1.0,0,,,
2007,1,honda,6,0.0,0,,,
2007,1,super_aguri,7,0.0,0,,,
2007,1,red_bull,8,0.0,0,,,
2007,1,toro_rosso,9,0.0,0,,,
2007,1,spyker,10,0.0,0,,,
2007,1,mclaren,11,14.0,0,,,
2007,2,ferrari,1,23.0,1,13.0,1.0,1.0
2007,2,bmw_sauber,2,10.0,0,5.0,0.0,2.0
2007,2,renault,3,8.0,0,4.0,0.0,3.0
2007,2,toyota,4,3.0,0,1.0,0.0,5.0
2007,2,williams,5,2.0,0,2.0,0.0,4.0
2007,2,red_bull,6,0.0,0,0.0,0.0,8.0
2007,2,honda,7,0.0,0,0.0,0.0,6.0
2007,2,super_aguri,8,0.0,0,0.0,0.0,7.0
2007,2,toro_rosso,9,0.0,0,0.0,0.0,9.0
2007,2,spyker,10,0.0,0,0.0,0.0,10.0
2007,2,mclaren,11,32.0,1,14.0,0.0,11.0
2007,3,ferrari,1,39.0,2,23.0,1.0,1.0
2007,3,bmw_sauber,2,18.0,0,10.0,0.0,2.0
2007,3,renault,3,9.0,0,8.0,0.0,3.0
2007,3,toyota,4,5.0,0,3.0,0.0,4.0
2007,3,williams,5,2.0,0,2.0,0.0,5.0
2007,3,red_bull,6,0.0,0,0.0,0.0,6.0
2007,3,honda,7,0.0,0,0.0,0.0,7.0
2007,3,super_aguri,8,0.0,0,0.0,0.0,8.0
2007,3,toro_rosso,9,0.0,0,0.0,0.0,9.0
2007,3,spyker,10,0.0,0,0.0,0.0,10.0
2007,3,mclaren,11,44.0,1,32.0,1.0,11.0
2007,4,ferrari,1,49.0,3,39.0,2.0,1.0
2007,4,bmw_sauber,2,23.0,0,18.0,0.0,2.0
2007,4,renault,3,11.0,0,9.0,0.0,3.0
2007,4,williams,4,5.0,0,2.0,0.0,5.0
2007,4,toyota,5,5.0,0,5.0,0.0,4.0
2007,4,red_bull,6,4.0,0,0.0,0.0,6.0
2007,4,super_aguri,7,1.0,0,0.0,0.0,8.0
2007,4,honda,8,0.0,0,0.0,0.0,7.0
2007,4,spyker,9,0.0,0,0.0,0.0,10.0
2007,4,toro_rosso,10,0.0,0,0.0,0.0,9.0
2007,4,mclaren,11,58.0,1,44.0,1.0,11.0
2007,5,ferrari,1,56.0,3,49.0,3.0,1.0
2007,5,bmw_sauber,2,30.0,0,23.0,0.0,2.0
2007,5,renault,3,16.0,0,11.0,0.0,3.0
2007,5,williams,4,7.0,0,5.0,0.0,4.0
2007,5,toyota,5,5.0,0,5.0,0.0,5.0
2007,5,red_bull,6,4.0,0,4.0,0.0,6.0
2007,5,super_aguri,7,1.0,0,1.0,0.0,7.0
2007,5,toro_rosso,8,0.0,0,0.0,0.0,10.0
2007,5,honda,9,0.0,0,0.0,0.0,8.0
2007,5,spyker,10,0.0,0,0.0,0.0,9.0
2007,5,mclaren,11,76.0,2,58.0,1.0,11.0
2007,6,ferrari,1,60.0,3,56.0,3.0,1.0
2007,6,bmw_sauber,2,38.0,0,30.0,0.0,2.0
2007,6,renault,3,21.0,0,16.0,0.0,3.0
2007,6,williams,4,13.0,0,7.0,0.0,4.0
2007,6,toyota,5,6.0,0,5.0,0.0,5.0
2007,6,red_bull,6,4.0,0,4.0,0.0,6.0
2007,6,super_aguri,7,4.0,0,1.0,0.0,7.0
2007,6,toro_rosso,8,0.0,0,0.0,0.0,8.0
2007,6,honda,9,0.0,0,0.0,0.0,9.0
2007,6,spyker,10,0.0,0,0.0,0.0,10.0
2007,6,mclaren,11,88.0,3,76.0,2.0,11.0
2007,7,ferrari,1,71.0,3,60.0,3.0,1.0
2007,7,bmw_sauber,2,39.0,0,38.0,0.0,2.0
2007,7,renault,3,25.0,0,21.0,0.0,3.0
2007,7,williams,4,13.0,0,13.0,0.0,4.0
2007,7,toyota,5,9.0,0,6.0,0.0,5.0
2007,7,red_bull,6,6.0,0,4.0,0.0,6.0
2007,7,super_aguri,7,4.0,0,4.0,0.0,7.0
2007,7,toro_rosso,8,0.0,0,0.0,0.0,8.0
2007,7,honda,9,0.0,0,0.0,0.0,9.0
2007,7,spyker,10,0.0,0,0.0,0.0,10.0
2007,7,mclaren,11,106.0,4,88.0,3.0,11.0
2007,8,ferrari,1,89.0,4,71.0,3.0,1.0
2007,8,bmw_sauber,2,48.0,0,39.0,0.0,2.0
2007,8,renault,3,28.0,0,25.0,0.0,3.0
2007,8,williams,4,13.0,0,13.0,0.0,4.0
2007,8,toyota,5,9.0,0,9.0,0.0,5.0
2007,8,red_bull,6,6.0,0,6.0,0.0,6.0
2007,8,super_aguri,7,4.0,0,4.0,0.0,7.0
2007,8,honda,8,1.0,0,0.0,0.0,9.0
2007,8,toro_rosso,9,0.0,0,0.0,0.0,8.0
2007,8,spyker,10,0.0,0,0.0,0.0,10.0
2007,8,mclaren,11,114.0,4,106.0,4.0,11.0
2007,9,ferrari,1,103.0,5,89.0,4.0,1.0
2007,9,bmw_sauber,2,56.0,0,48.0,0.0,2.0
2007,9,renault,3,31.0,0,28.0,0.0,3.0
2007,9,williams,4,13.0,0,13.0,0.0,4.0
2007,9,toyota,5,9.0,0,9.0,0.0,5.0
2007,9,red_bull,6,6.0,0,6.0,0.0,6.0
2007,9,super_aguri,7,4.0,0,4.0,0.0,7.0
